ID,ground_truth,chip_out,chip_out_attacked
402,1,1,10
403,3,3,3
404,3,3,1
405,1,1,10
406,0,0,5
407,2,2,5
408,2,2,4
409,1,1,10
410,8,9,8
411,6,6,10
413,10,10,10
414,0,0,3
415,7,7,10
417,8,8,8
420,1,1,10
421,7,7,10
422,5,5,10
423,10,10,9
424,8,8,10
426,6,6,10
427,5,5,4
428,5,5,10
429,0,0,5
430,3,3,5
431,3,3,10
433,7,7,5
434,4,4,1
435,7,7,8
436,4,4,5
438,7,7,10
439,8,8,10
440,1,1,1
442,2,2,5
443,6,6,10
445,9,9,10
446,7,7,10
447,7,7,9
448,7,7,10
449,7,7,5
450,7,7,8
451,6,6,5
452,2,2,5
453,6,5,5
454,0,0,10
455,7,7,5
456,4,4,4
457,7,7,5
459,2,2,10
460,7,7,5
462,5,5,10
464,7,7,5
465,7,7,5
466,6,6,10
467,7,7,5
468,10,10,5
469,7,7,5
470,2,2,1
471,8,8,10
472,7,7,9
474,4,4,10
475,5,5,10
477,7,7,5
478,1,1,10
483,5,5,10
484,6,6,6
485,4,4,10
486,7,7,10
487,5,5,10
488,4,4,10
490,1,1,10
493,5,5,10
494,1,1,10
495,7,7,10
496,2,2,10
498,0,0,5
500,3,3,10
501,6,6,1
502,7,7,5
503,0,0,2
505,5,5,10
507,4,4,10
508,8,8,8
509,7,7,10
510,6,6,2
512,10,10,4
515,6,6,0
516,6,6,9
519,5,5,10
520,6,6,10
521,6,6,10
522,5,5,10
524,5,5,10
525,2,2,5
526,8,8,10
527,4,4,10
528,2,2,6
529,7,7,7
530,1,1,10
531,8,8,10
532,2,2,6
533,4,4,10
535,8,10,10
536,2,2,1
537,6,6,10
538,1,1,10
540,4,4,4
541,5,5,10
542,7,7,8
543,2,5,5
544,7,7,10
545,3,3,4
546,2,2,10
547,6,6,1
548,10,10,10
549,8,8,10
551,9,9,10
552,3,3,3
553,2,2,5
554,2,2,5
555,0,0,0
557,5,5,10
558,0,0,8
559,9,8,3
560,2,2,6
561,1,1,10
563,7,7,5
564,6,6,2
565,1,1,10
566,1,1,10
567,7,7,5
569,10,10,1
570,5,5,10
571,3,3,10
573,7,7,7
574,2,2,10
575,4,4,5
576,1,1,10
577,10,10,4
578,6,6,0
579,5,5,10
580,7,7,5
584,1,1,10
587,2,2,9
588,4,4,1
589,7,7,10
590,6,6,10
591,3,3,1
592,3,3,10
593,6,6,5
594,10,10,5
595,6,6,10
596,6,6,5
597,7,7,10
598,0,0,8
601,9,8,10
602,3,3,5
603,4,4,4
604,10,10,7
605,9,9,10
606,4,4,4
607,7,7,5
608,10,10,1
609,1,1,3
610,10,10,10
611,5,5,10
612,2,2,4
613,6,6,10
614,10,10,0
615,9,9,10
616,7,7,10
618,6,6,6
619,9,9,2
622,9,9,10
623,1,1,10
624,3,3,10
625,6,6,10
626,7,7,10
627,4,4,10
628,8,8,10
629,4,4,4
632,9,9,3
634,5,5,10
635,3,3,5
636,9,9,3
637,7,7,10
638,7,7,10
639,3,3,1
641,1,1,10
642,10,10,4
643,5,5,10
644,5,5,10
645,2,2,5
647,2,2,10
648,1,1,5
652,4,4,10
653,9,9,10
654,7,7,9
655,1,1,6
656,0,0,8
657,4,4,4
658,3,3,4
659,7,7,7
660,8,8,8
661,9,9,10
662,3,3,1
664,3,3,10
666,6,6,10
667,5,5,10
669,7,7,10
671,7,7,5
672,6,6,2
673,4,4,4
674,6,6,6
675,0,0,8
676,4,4,4
677,6,6,10
678,1,1,10
680,9,9,10
681,5,5,10
682,4,4,1
684,6,6,10
685,5,5,10
687,2,2,6
689,7,7,5
690,3,3,1
692,7,7,8
693,2,2,9
694,7,7,5
695,9,9,10
696,4,4,4
697,5,5,10
699,0,0,0
701,8,8,5
703,0,0,5
704,7,7,10
705,7,7,10
706,4,4,4
707,3,3,3
708,7,7,10
709,3,3,0
710,7,7,10
712,10,10,10
714,4,4,4
715,1,9,9
717,4,4,4
718,7,7,5
719,4,4,10
720,6,6,10
721,7,7,4
722,9,9,10
723,7,7,5
725,8,8,10
726,0,0,8
727,3,3,10
728,4,4,4
730,5,5,10
731,8,7,7
732,9,9,3
733,10,1,1
734,5,8,10
735,8,0,0
736,8,8,10
737,7,7,9
738,4,4,4
739,0,0,8
740,9,9,0
741,9,9,10
742,7,7,9
743,8,8,8
744,4,4,1
745,8,8,10
746,7,7,10
747,1,1,10
749,4,4,10
751,6,6,10
752,7,7,5
754,4,4,8
755,7,7,7
756,3,3,10
757,2,5,5
758,0,0,5
759,4,4,5
760,2,2,5
761,7,7,10
762,0,0,8
763,3,3,10
764,2,2,5
765,5,5,10
766,4,4,10
767,8,8,10
769,1,1,10
770,3,3,10
771,0,0,0
772,7,7,5
773,6,6,10
774,0,0,8
775,5,5,10
777,7,7,10
780,7,7,5
782,7,7,5
783,1,1,10
784,1,1,10
786,2,2,10
787,2,2,6
788,7,7,10
789,6,6,10
790,6,6,2
791,7,7,5
792,8,8,10
793,1,1,10
795,9,9,3
796,3,3,5
797,5,5,10
799,8,8,10
801,9,9,4
802,10,10,4
803,0,0,8
804,4,4,8
805,4,4,4
806,2,2,5
807,5,5,10
808,5,5,10
810,5,5,10
812,7,7,10
813,4,4,4
814,2,2,5
816,6,6,10
817,7,7,10
818,0,0,5
819,4,4,4
820,5,5,5
821,9,9,3
822,0,0,8
823,1,1,10
824,2,2,5
825,6,6,0
826,9,8,2
827,1,1,10
828,5,5,10
829,9,9,2
830,9,9,0
831,10,10,4
832,2,2,5
833,8,8,10
834,4,4,4
835,7,7,7
837,6,6,5
838,5,5,10
839,9,9,3
840,2,2,0
841,7,7,10
843,10,10,5
844,8,9,10
845,2,2,10
846,7,7,10
847,7,7,5
848,3,3,1
849,2,2,5
850,5,5,5
851,9,9,10
853,2,2,5
854,7,7,10
855,6,6,1
856,4,4,4
857,7,7,5
858,6,6,10
859,8,8,5
860,7,8,10
861,8,8,10
862,7,7,5
863,1,1,10
866,0,0,9
867,2,2,2
869,5,5,4
871,2,2,6
875,1,1,10
876,3,3,10
877,4,4,4
878,5,5,10
879,10,10,9
881,9,9,10
882,6,6,10
883,8,8,10
884,6,6,0
885,7,7,10
886,7,7,5
888,5,5,10
889,0,0,10
890,7,7,10
891,4,4,4
892,7,7,5
893,2,2,6
894,3,3,5
895,8,8,10
896,1,1,10
897,1,1,3
898,6,6,6
899,1,1,10
900,7,7,10
901,3,3,10
902,7,7,5
903,8,8,4
904,1,1,10
905,3,3,10
907,6,6,10
908,2,2,5
910,7,7,5
911,5,5,10
913,8,8,5
914,1,1,10
916,7,7,10
917,7,7,10
918,10,10,0
919,8,8,10
920,6,6,10
922,5,5,5
924,10,10,10
925,5,5,10
927,5,5,10
928,3,3,10
931,10,10,10
932,7,7,9
933,7,7,5
934,7,7,5
935,9,9,3
936,3,3,10
937,7,7,5
938,8,10,10
939,5,5,5
940,2,2,4
943,5,5,10
944,7,7,10
945,0,0,5
946,3,0,5
947,9,9,7
948,7,7,5
949,7,7,10
950,8,8,10
952,4,4,4
955,4,4,4
956,3,3,10
957,2,2,4
958,6,6,10
959,9,9,3
960,7,7,10
962,4,4,10
963,5,5,10
964,5,5,10
965,5,5,10
970,7,7,5
971,3,3,5
973,0,0,8
975,7,7,10
977,5,5,10
980,9,9,10
982,7,7,5
983,6,6,10
984,2,2,5
986,1,1,3
987,6,6,5
988,4,4,4
989,9,9,3
990,0,0,1
991,4,4,10
992,1,1,10
993,7,7,5
994,9,9,3
995,3,3,10
997,0,0,5
999,5,5,10
